Data,Horário,Tensao_Fase_A,Tensao_De_Linha_AB,Corrente_Fase_A,Potencia_Ativa_Fase_A,fator_De_Potencia_Fase_A,Potencia_Reativa_Fase_A,Potencia_Aparente_Fase_A,Frequencia_Fase_A,Intervalos em Hora,C (Wh),C (kWh)
01/08/2025,00:00:00,"222,33","385,09","82,22","15180,00","0,83","10183,88","18279,60","60,07","0,05","759,00","0,76"
01/08/2025,00:03:00,"223,80","387,64","85,26","16325,86","0,86","9879,08","19082,19","59,89","0,05","1575,29","1,58"
01/08/2025,00:06:00,"221,49","383,63","76,11","14895,93","0,88","7890,69","16856,80","60,08","0,05","2320,09","2,32"
01/08/2025,00:09:00,"221,57","383,77","82,66","16014,93","0,87","8887,97","18315,95","60,12","0,05","3120,84","3,12"
01/08/2025,00:12:00,"222,79","385,88","91,68","17594,02","0,86","10374,66","20425,06","59,91","0,05","4000,54","4,00"
01/08/2025,00:15:00,"223,22","386,63","91,53","17090,28","0,84","11196,19","20431,16","60,06","0,05","4855,05","4,86"
01/08/2025,00:18:00,"221,53","383,70","88,76","17233,23","0,88","9469,97","19663,79","60,03","0,05","5716,71","5,72"
01/08/2025,00:21:00,"222,21","384,88","98,41","18519,66","0,85","11627,59","21867,30","59,92","0,05","6642,70","6,64"
01/08/2025,00:24:00,"222,06","384,62","95,52","17586,90","0,83","11856,81","21210,45","60,00","0,05","7522,04","7,52"
01/08/2025,00:27:00,"221,82","384,20","91,83","16937,53","0,83","11314,67","20369,13","60,02","0,05","8368,92","8,37"
01/08/2025,00:30:00,"221,50","383,66","89,10","16785,24","0,85","10380,74","19735,86","60,01","0,05","9208,18","9,21"
01/08/2025,00:33:00,"221,74","384,07","82,25","15460,18","0,85","9676,66","18238,83","60,02","0,05","9981,19","9,98"
01/08/2025,00:36:00,"222,57","385,50","81,24","15787,68","0,87","8812,02","18080,44","60,07","0,05","10770,57","10,77"
01/08/2025,00:39:00,"221,68","383,96","90,06","17077,90","0,86","10340,74","19964,61","59,95","0,05","11624,47","11,62"
01/08/2025,00:42:00,"223,45","387,03","86,81","16668,81","0,86","9918,60","19396,59","59,93","0,05","12457,91","12,46"
01/08/2025,00:45:00,"222,28","385,00","81,61","15359,52","0,85","9651,94","18140,42","60,04","0,05","13225,88","13,23"
01/08/2025,00:48:00,"221,52","383,69","97,11","18217,41","0,85","11439,91","21511,52","59,99","0,05","14136,75","14,14"
01/08/2025,00:51:00,"221,53","383,70","84,85","15907,86","0,85","10013,18","18796,90","59,93","0,05","14932,15","14,93"
01/08/2025,00:54:00,"222,17","384,82","94,31","17276,07","0,82","11857,79","20953,99","59,97","0,05","15795,95","15,80"
01/08/2025,00:57:00,"219,33","379,90","83,96","15472,66","0,84","9986,09","18415,35","59,96","0,05","16569,58","16,57"
01/08/2025,01:00:00,"222,25","384,95","84,66","16034,61","0,85","9843,28","18814,86","59,99","0,05","17371,31","17,37"
01/08/2025,01:03:00,"221,30","383,31","96,48","17942,74","0,84","11572,57","21351,03","60,00","0,05","18268,45","18,27"
01/08/2025,01:06:00,"223,11","386,44","95,64","17666,58","0,83","11967,85","21338,64","59,96","0,05","19151,78","19,15"
01/08/2025,01:09:00,"222,28","384,99","85,87","15931,19","0,83","10511,87","19086,71","60,02","0,05","19948,34","19,95"
01/08/2025,01:12:00,"222,60","385,55","86,61","16208,47","0,84","10438,44","19278,89","60,09","0,05","20758,76","20,76"
01/08/2025,01:15:00,"222,59","385,54","91,14","17443,93","0,86","10358,64","20287,74","59,93","0,05","21630,96","21,63"
01/08/2025,01:18:00,"221,81","384,18","80,52","15107,80","0,85","9525,03","17859,78","59,93","0,05","22386,35","22,39"
01/08/2025,01:21:00,"222,52","385,41","80,60","15788,46","0,88","8506,32","17934,12","59,88","0,05","23175,77","23,18"
01/08/2025,01:24:00,"223,38","386,90","85,04","16265,01","0,86","9812,11","18995,47","60,15","0,05","23989,02","23,99"
01/08/2025,01:27:00,"221,43","383,52","90,61","16852,17","0,84","10889,03","20064,06","59,94","0,05","24831,63","24,83"
01/08/2025,01:30:00,"221,02","382,82","86,47","15995,16","0,84","10458,70","19110,98","60,15","0,05","25631,39","25,63"
01/08/2025,01:33:00,"222,32","385,07","78,90","15201,09","0,87","8755,43","17542,26","60,11","0,05","26391,44","26,39"
01/08/2025,01:36:00,"223,42","386,97","87,35","16445,41","0,84","10506,23","19514,93","59,86","0,05","27213,71","27,21"
01/08/2025,01:39:00,"222,78","385,86","89,12","17328,96","0,87","9687,87","19853,15","59,98","0,05","28080,16","28,08"
01/08/2025,01:42:00,"224,42","388,70","85,33","16595,21","0,87","9554,83","19149,30","60,09","0,05","28909,92","28,91"
