Data,Horário,Tensao_Fase_A,Tensao_De_Linha_AB,Corrente_Fase_A,Potencia_Ativa_Fase_A,fator_De_Potencia_Fase_A,Potencia_Reativa_Fase_A,Potencia_Aparente_Fase_A,Frequencia_Fase_A,Intervalos em Hora,C (Wh),C (kWh)
23/05/2025,00:00:00,"222,67","385,68","258,11","50440,51","0,88","27547,82","57472,84","59,94","0,05","2522,03","2,52"
23/05/2025,00:03:00,"224,04","388,04","296,82","54651,93","0,82","37884,34","66498,55","60,12","0,05","5254,62","5,25"
23/05/2025,00:06:00,"220,76","382,37","249,66","46767,35","0,85","29163,44","55115,25","60,04","0,05","7592,99","7,59"
23/05/2025,00:09:00,"224,00","387,98","261,78","51888,35","0,88","27312,65","58637,72","60,08","0,05","10187,41","10,19"
23/05/2025,00:12:00,"222,92","386,11","260,67","48842,11","0,84","31480,93","58108,53","59,89","0,05","12629,51","12,63"
23/05/2025,00:15:00,"222,59","385,54","269,20","50675,02","0,85","31978,33","59921,37","59,82","0,05","15163,26","15,16"
23/05/2025,00:18:00,"222,75","385,81","273,15","52008,41","0,85","31575,52","60843,15","60,00","0,05","17763,68","17,76"
23/05/2025,00:21:00,"222,32","385,07","281,51","53202,67","0,85","32962,37","62586,28","60,13","0,05","20423,82","20,42"
23/05/2025,00:24:00,"223,92","387,85","275,20","50811,38","0,82","34867,73","61624,31","59,76","0,05","22964,39","22,96"
23/05/2025,00:27:00,"223,05","386,33","266,40","51268,95","0,86","30035,81","59419,32","60,08","0,05","25527,83","25,53"
23/05/2025,00:30:00,"223,57","387,24","244,96","47114,14","0,86","27921,33","54766,26","60,10","0,05","27883,54","27,88"
23/05/2025,00:33:00,"222,42","385,24","252,97","46873,90","0,83","31121,04","56264,39","59,89","0,05","30227,24","30,23"
23/05/2025,00:36:00,"222,09","384,67","279,66","51232,72","0,82","35110,19","62108,92","60,05","0,05","32788,87","32,79"
23/05/2025,00:39:00,"222,31","385,05","272,48","53091,03","0,88","29167,00","60575,33","59,95","0,05","35443,42","35,44"
23/05/2025,00:42:00,"222,71","385,75","274,18","53329,18","0,87","29744,58","61063,42","60,16","0,05","38109,88","38,11"
23/05/2025,00:45:00,"220,85","382,53","253,54","47273,64","0,84","30012,04","55995,71","60,05","0,05","40473,57","40,47"
23/05/2025,00:48:00,"221,89","384,32","287,89","54027,83","0,85","34080,13","63878,50","60,17","0,05","43174,96","43,17"
23/05/2025,00:51:00,"220,80","382,43","250,74","46313,14","0,84","30334,72","55363,37","60,04","0,05","45490,61","45,49"
23/05/2025,00:54:00,"224,01","388,00","253,30","48703,79","0,86","29115,52","56743,04","60,05","0,05","47925,80","47,93"
23/05/2025,00:57:00,"222,15","384,77","258,88","50388,32","0,88","27721,38","57510,50","60,10","0,05","50445,22","50,45"
23/05/2025,01:00:00,"222,27","384,99","282,40","52688,03","0,84","34117,84","62769,86","60,10","0,05","53079,62","53,08"
23/05/2025,01:03:00,"221,18","383,09","266,47","48603,04","0,82","33338,22","58938,03","59,95","0,05","55509,77","55,51"
23/05/2025,01:06:00,"222,04","384,59","240,76","43836,82","0,82","30596,10","53458,29","59,96","0,05","57701,61","57,70"
23/05/2025,01:09:00,"222,90","386,07","240,94","46402,18","0,86","27038,50","53705,14","59,93","0,05","60021,72","60,02"
23/05/2025,01:12:00,"222,91","386,09","265,98","50853,12","0,86","30482,41","59289,26","60,01","0,05","62564,38","62,56"
23/05/2025,01:15:00,"222,66","385,65","277,68","52459,99","0,85","32718,79","61826,93","60,17","0,05","65187,38","65,19"
23/05/2025,01:18:00,"223,52","387,15","269,03","50007,93","0,83","33396,11","60133,96","59,95","0,05","67687,77","67,69"
23/05/2025,01:21:00,"223,38","386,91","291,50","54971,93","0,84","34903,21","65116,41","60,09","0,05","70436,37","70,44"
23/05/2025,01:24:00,"221,79","384,15","266,81","52225,63","0,88","27822,70","59174,48","59,98","0,05","73047,65","73,05"
23/05/2025,01:27:00,"222,95","386,17","277,10","51234,47","0,83","34522,05","61779,79","59,99","0,05","75609,38","75,61"
23/05/2025,01:30:00,"221,41","383,50","244,79","47238,00","0,87","26574,16","54199,76","59,92","0,05","77971,28","77,97"
23/05/2025,01:33:00,"222,36","385,14","263,06","51056,69","0,87","28543,72","58493,84","59,99","0,05","80524,11","80,52"
23/05/2025,01:36:00,"223,20","386,59","273,51","51409,67","0,84","32919,41","61046,23","59,99","0,05","83094,59","83,09"
23/05/2025,01:39:00,"222,78","385,87","269,76","50865,29","0,85","32009,05","60098,73","59,89","0,05","85637,86","85,64"
23/05/2025,01:42:00,"222,00","384,51","244,97","44932,70","0,83","30635,65","54382,81","60,09","0,05","87884,49","87,88"
23/05/2025,01:45:00,"222,35","385,11","276,11","52161,21","0,85","32374,80","61391,53","60,06","0,05","90492,55","90,49"
23/05/2025,01:48:00,"222,83","385,96","248,86","47762,96","0,86","28174,89","55453,80","60,00","0,05","92880,70","92,88"
23/05/2025,01:51:00,"222,44","385,29","262,50","48415,20","0,83","32643,72","58392,16","59,98","0,05","95301,46","95,30"
23/05/2025,01:54:00,"223,19","386,57","240,58","45724,77","0,85","28147,56","53693,94","59,94","0,05","97587,70","97,59"
23/05/2025,01:57:00,"222,40","385,20","256,00","48282,84","0,85","30170,11","56933,89","59,95","0,05","100001,84","100,00"
23/05/2025,02:00:00,"220,33","381,63","250,64","47849,70","0,87","27572,29","55225,22","59,91","0,05","102394,33","102,39"
23/05/2025,02:03:00,"222,70","385,72","280,34","54621,32","0,87","30235,05","62431,14","60,01","0,05","105125,39","105,13"
23/05/2025,02:06:00,"221,56","383,75","237,12","45526,37","0,87","26216,71","52535,38","60,11","0,05","107401,71","107,40"
23/05/2025,02:09:00,"222,47","385,33","237,06","44550,31","0,84","28222,49","52737,45","59,87","0,05","109629,23","109,63"
23/05/2025,02:12:00,"222,18","384,83","272,72","50821,31","0,84","32996,61","60593,58","60,09","0,05","112170,29","112,17"
23/05/2025,02:15:00,"223,06","386,36","262,43","49465,04","0,85","31302,11","58537,27","60,16","0,05","114643,54","114,64"
23/05/2025,02:18:00,"222,62","385,58","250,40","47538,23","0,85","29111,82","55743,89","59,98","0,05","117020,46","117,02"
23/05/2025,02:21:00,"222,39","385,19","265,29","50687,67","0,86","30189,03","58996,76","60,21","0,05","119554,84","119,55"
23/05/2025,02:24:00,"221,30","383,30","275,33","51152,04","0,84","33107,20","60931,26","60,17","0,05","122112,44","122,11"
23/05/2025,02:27:00,"222,55","385,48","279,86","52327,19","0,84","33779,10","62282,92","59,90","0,05","124728,80","124,73"
23/05/2025,02:30:00,"221,59","383,81","283,10","51519,67","0,82","35790,69","62731,57","59,90","0,05","127304,79","127,30"
23/05/2025,02:33:00,"223,50","387,11","244,20","47893,33","0,88","26171,53","54577,65","59,95","0,05","129699,45","129,70"
23/05/2025,02:36:00,"222,12","384,73","242,86","45127,37","0,84","29557,45","53945,55","60,06","0,05","131955,82","131,96"
23/05/2025,02:39:00,"221,90","384,35","271,87","52820,22","0,88","29149,67","60329,75","60,17","0,05","134596,83","134,60"
23/05/2025,02:42:00,"221,38","383,45","257,76","49317,38","0,86","28706,37","57063,65","59,97","0,05","137062,70","137,06"
23/05/2025,02:45:00,"222,57","385,49","285,83","54572,24","0,86","32692,35","63615,40","59,98","0,05","139791,31","139,79"
23/05/2025,02:48:00,"225,74","390,99","261,78","49147,72","0,83","32811,20","59093,77","59,98","0,05","142248,70","142,25"
23/05/2025,02:51:00,"221,97","384,46","236,74","45460,58","0,87","26358,47","52549,34","59,90","0,05","144521,73","144,52"
23/05/2025,02:54:00,"221,77","384,12","296,98","55172,59","0,84","35968,25","65861,44","59,95","0,05","147280,36","147,28"
23/05/2025,02:57:00,"223,44","387,01","257,87","48463,61","0,84","31161,72","57617,48","59,99","0,05","149703,54","149,70"
23/05/2025,03:00:00,"222,08","384,65","309,89","56450,91","0,82","39363,52","68820,00","60,04","0,05","152526,08","152,53"
23/05/2025,03:03:00,"223,09","386,40","259,39","49298,10","0,85","30302,62","57866,67","60,00","0,05","154990,99","154,99"
23/05/2025,03:06:00,"221,41","383,50","265,13","49999,82","0,85","30759,24","58703,60","59,99","0,05","157490,98","157,49"
23/05/2025,03:09:00,"221,27","383,25","281,89","52886,26","0,85","33069,72","62374,38","60,04","0,05","160135,29","160,14"
23/05/2025,03:12:00,"222,55","385,48","270,89","52183,56","0,87","30191,02","60287,82","60,01","0,05","162744,47","162,74"
23/05/2025,03:15:00,"221,93","384,39","235,32","43499,28","0,83","28899,87","52224,42","60,01","0,05","164919,43","164,92"
23/05/2025,03:18:00,"221,97","384,46","257,11","49962,42","0,88","27581,16","57069,81","60,13","0,05","167417,55","167,42"
23/05/2025,03:21:00,"223,77","387,58","291,58","57224,16","0,88","31343,36","65245,77","59,84","0,05","170278,76","170,28"
23/05/2025,03:24:00,"224,82","389,39","279,51","53097,85","0,84","33604,91","62838,46","60,01","0,05","172933,65","172,93"
23/05/2025,03:27:00,"223,30","386,77","243,44","45760,63","0,84","29344,02","54360,89","60,07","0,05","175221,69","175,22"
23/05/2025,03:30:00,"222,85","385,99","247,63","47249,00","0,86","28510,08","55184,17","60,03","0,05","177584,14","177,58"
23/05/2025,03:33:00,"223,76","387,57","291,59","55244,86","0,85","34714,40","65246,33","60,01","0,05","180346,38","180,35"
23/05/2025,03:36:00,"224,16","388,26","253,63","47662,17","0,84","30997,24","56855,18","59,97","0,05","182729,49","182,73"
23/05/2025,03:39:00,"224,43","388,72","282,65","54032,94","0,85","33232,02","63434,42","60,02","0,05","185431,13","185,43"
23/05/2025,03:42:00,"222,20","384,86","244,08","45592,49","0,84","29370,52","54233,78","60,03","0,05","187710,76","187,71"
23/05/2025,03:45:00,"223,94","387,87","281,76","53266,66","0,84","33821,14","63096,80","60,03","0,05","190374,09","190,37"
23/05/2025,03:48:00,"220,99","382,77","275,91","52794,35","0,87","30502,97","60972,74","60,03","0,05","193013,81","193,01"
23/05/2025,03:51:00,"220,46","381,85","273,32","52267,67","0,87","29983,10","60256,92","59,90","0,05","195627,19","195,63"
23/05/2025,03:54:00,"222,58","385,52","261,04","48389,92","0,83","32162,26","58103,31","60,08","0,05","198046,69","198,05"
23/05/2025,03:57:00,"221,37","383,42","252,85","49207,98","0,88","26674,43","55972,76","60,02","0,05","200507,09","200,51"
23/05/2025,04:00:00,"222,17","384,81","254,46","49490,86","0,88","27326,27","56533,79","60,07","0,05","202981,63","202,98"
23/05/2025,04:03:00,"223,24","386,67","266,35","50069,25","0,84","32074,37","59461,72","59,83","0,05","205485,09","205,49"
23/05/2025,04:06:00,"223,18","386,56","279,79","51865,55","0,83","34774,72","62444,51","60,09","0,05","208078,37","208,08"
23/05/2025,04:09:00,"223,57","387,23","272,26","51726,58","0,85","32081,85","60867,76","60,06","0,05","210664,70","210,66"
23/05/2025,04:12:00,"222,33","385,09","268,18","51878,20","0,87","29391,15","59625,39","60,14","0,05","213258,61","213,26"
23/05/2025,04:15:00,"221,63","383,88","264,61","50564,41","0,86","29708,05","58645,78","60,00","0,05","215786,83","215,79"
23/05/2025,04:18:00,"222,99","386,23","269,84","50451,60","0,84","32790,08","60171,04","59,89","0,05","218309,41","218,31"
23/05/2025,04:21:00,"223,08","386,38","278,02","53569,53","0,86","31252,08","62019,25","59,99","0,05","220987,89","220,99"
23/05/2025,04:24:00,"222,82","385,94","242,98","45639,66","0,84","29125,16","54141,05","59,87","0,05","223269,87","223,27"
