Data,Horário,Tensao_Fase_B,Tensao_De_Linha_BC,Corrente_Fase_B,Potencia_Ativa_Fase_B,fator_De_Potencia_Fase_B,Potencia_Reativa_Fase_B,Potencia_Aparente_Fase_B,Frequencia_Fase_B,Intervalos em Hora,C (Wh),C (kWh)
23/05/2025,00:00:00,"222,22","384,89","254,27","49094,32","0,87","27972,34","56504,02","60,13","0,05","2454,72","2,45"
23/05/2025,00:03:00,"221,53","383,70","243,50","45008,82","0,83","29730,01","53941,33","60,14","0,05","4705,16","4,71"
23/05/2025,00:06:00,"223,92","387,85","243,04","45575,87","0,84","29743,81","54422,92","59,93","0,05","6983,95","6,98"
23/05/2025,00:09:00,"224,89","389,53","238,12","45532,65","0,85","28188,37","53551,90","59,95","0,05","9260,58","9,26"
23/05/2025,00:12:00,"222,23","384,91","250,38","46688,42","0,84","30269,82","55642,35","60,02","0,05","11595,00","11,60"
23/05/2025,00:15:00,"222,72","385,76","278,39","53200,28","0,86","31844,14","62002,57","59,98","0,05","14255,02","14,26"
23/05/2025,00:18:00,"220,69","382,25","247,28","46226,66","0,85","29002,57","54571,54","60,05","0,05","16566,35","16,57"
23/05/2025,00:21:00,"223,87","387,75","276,65","54460,44","0,88","29492,50","61933,40","59,97","0,05","19289,37","19,29"
23/05/2025,00:24:00,"222,16","384,79","281,93","52773,52","0,84","33731,57","62632,76","59,91","0,05","21928,05","21,93"
23/05/2025,00:27:00,"222,09","384,67","296,47","54761,55","0,83","36557,62","65842,90","59,86","0,05","24666,13","24,67"
23/05/2025,00:30:00,"223,72","387,50","289,16","53690,79","0,83","36089,72","64692,88","60,05","0,05","27350,67","27,35"
23/05/2025,00:33:00,"223,93","387,86","238,52","45406,95","0,85","28124,29","53411,30","59,97","0,05","29621,01","29,62"
23/05/2025,00:36:00,"222,22","384,90","243,19","45634,75","0,84","28949,00","54042,34","60,08","0,05","31902,75","31,90"
23/05/2025,00:39:00,"222,06","384,63","257,31","48220,82","0,84","30655,15","57140,06","60,11","0,05","34313,79","34,31"
23/05/2025,00:42:00,"224,18","388,28","278,25","53697,06","0,86","31741,48","62377,04","59,96","0,05","36998,64","37,00"
23/05/2025,00:45:00,"221,27","383,26","283,08","52457,60","0,84","34229,07","62637,28","59,92","0,05","39621,52","39,62"
23/05/2025,00:48:00,"223,30","386,76","277,63","52946,22","0,85","32247,41","61993,53","59,85","0,05","42268,84","42,27"
23/05/2025,00:51:00,"223,16","386,52","243,71","46138,88","0,85","28791,63","54385,24","59,94","0,05","44575,78","44,58"
23/05/2025,00:54:00,"223,34","386,84","259,51","49966,10","0,86","29372,06","57959,72","59,98","0,05","47074,08","47,07"
23/05/2025,00:57:00,"220,24","381,47","256,04","47742,75","0,85","30009,42","56390,92","59,94","0,05","49461,22","49,46"
23/05/2025,01:00:00,"223,21","386,61","244,92","45212,91","0,83","30731,52","54668,40","60,00","0,05","51721,87","51,72"
