Data,Horário,Tensao_Fase_C,Tensao_De_Linha_CA,Corrente_Fase_C,Potencia_Ativa_Fase_C,fator_De_Potencia_Fase_C,Potencia_Reativa_Fase_C,Potencia_Aparente_Fase_C,Frequencia_Fase_C,Intervalos em Hora,C (Wh),C (kWh)
23/05/2025,00:00:00,"223,95","387,90","258,49","48479,57","0,84","31637,48","57889,54","60,02","0,05","2423,98","2,42"
23/05/2025,00:03:00,"221,25","383,21","253,95","48411,08","0,86","28516,81","56185,77","59,89","0,05","4844,53","4,84"
23/05/2025,00:06:00,"224,08","388,11","241,67","45260,24","0,84","29733,68","54153,31","59,98","0,05","7107,54","7,11"
23/05/2025,00:09:00,"221,96","384,45","269,17","52090,74","0,87","29261,04","59746,58","59,88","0,05","9712,08","9,71"
23/05/2025,00:12:00,"223,84","387,70","254,13","47538,17","0,84","31238,17","56883,22","60,01","0,05","12088,99","12,09"
23/05/2025,00:15:00,"222,01","384,53","242,83","46555,60","0,86","27185,84","53911,91","60,07","0,05","14416,77","14,42"
23/05/2025,00:18:00,"224,99","389,70","261,49","48310,02","0,82","33577,72","58833,00","60,02","0,05","16832,27","16,83"
23/05/2025,00:21:00,"223,52","387,15","242,64","45743,42","0,84","29136,44","54234,61","59,90","0,05","19119,44","19,12"
23/05/2025,00:24:00,"221,67","383,94","254,88","47477,92","0,84","30628,28","56499,95","59,85","0,05","21493,34","21,49"
23/05/2025,00:27:00,"223,49","387,10","256,65","48602,35","0,85","30461,29","57359,20","59,81","0,05","23923,46","23,92"
23/05/2025,00:30:00,"223,32","386,80","243,01","45051,54","0,83","30256,98","54269,02","60,08","0,05","26176,03","26,18"
23/05/2025,00:33:00,"222,83","385,96","258,92","48340,39","0,84","31495,59","57695,45","59,94","0,05","28593,05","28,59"
23/05/2025,00:36:00,"223,29","386,75","262,51","50535,20","0,86","29697,61","58615,31","59,98","0,05","31119,81","31,12"
23/05/2025,00:39:00,"223,81","387,64","258,00","50388,49","0,87","28200,18","57742,96","60,00","0,05","33639,24","33,64"
23/05/2025,00:42:00,"224,17","388,27","241,37","46722,94","0,86","27289,05","54108,46","59,93","0,05","35975,38","35,98"
23/05/2025,00:45:00,"222,59","385,54","283,90","52101,97","0,82","35760,19","63193,40","59,97","0,05","38580,48","38,58"
23/05/2025,00:48:00,"223,16","386,52","254,30","49971,32","0,88","26897,21","56750,27","60,09","0,05","41079,05","41,08"
23/05/2025,00:51:00,"221,86","384,28","250,24","46023,95","0,83","31050,64","55518,88","60,10","0,05","43380,25","43,38"
